Frequency [Hz],1/f [1/Hz],repeat,Vrms [V],Irms [A],XC [Ohm]
200.0,0.005,1,0.6232439092657144,0.00397145143,156.93101634273654
200.0,0.005,2,0.6232439092657144,0.00397937559,156.6185184509599
200.0,0.005,3,0.6232439092657144,0.00395985646,157.39053058143284
500.0,0.002,1,0.37394631183750626,0.00582130859,64.2375002211498
500.0,0.002,2,0.3772555980899635,0.00582278427,64.78955437755957
500.0,0.002,3,0.37394631183750626,0.00583442114,64.09312986917949
1000.0,0.001,1,0.20958645743902454,0.00640367065,32.729112550319016
1000.0,0.001,2,0.20958645743902454,0.00642411551,32.62495157703423
1000.0,0.001,3,0.20958645743902454,0.00640961714,32.69874828109071
2000.0,0.0005,1,0.10920557174606979,0.00660498021,16.53382270256186
2000.0,0.0005,2,0.1081024833642965,0.00659072679,16.4022097727247
2000.0,0.0005,3,0.1081024833642965,0.00658781454,16.409460634921956
5000.0,0.0002,1,0.04461801306311701,0.0066488036,6.710682966047758
5000.0,0.0002,2,0.04510831789998794,0.00664007803,6.793341538486098
5000.0,0.0002,3,0.04461801306311701,0.00664376933,6.715767939390064
