Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200,1,0.7550067588153356,0.00110610714,682.5801330740309
200,2,0.7617478943507654,0.00112908601,674.6588724013731
200,3,0.7617478943507654,0.00111133035,685.4378577447881
200,4,0.7550067588153356,0.00112043647,673.8505743349605
200,5,0.7550067588153356,0.00111753331,675.6011226326092
200,6,0.7617478943507654,0.00111480698,683.3002555749744
200,7,0.7617478943507654,0.00113478838,671.2686768530052
200,8,0.7550067588153356,0.00112517294,671.0139676975663
200,9,0.7550067588153356,0.00110282062,684.6142927716891
200,10,0.1280814909213927,0.0061493176,20.828569810964506
500,1,0.09094835774603299,0.00621268293,14.639143630984076
500,2,0.09094835774603299,0.00622027693,14.621271491530361
500,3,0.09009035328172572,0.00622116914,14.481257663045266
500,4,0.09009035328172572,0.00622673379,14.468316186314064
500,5,0.09094835774603299,0.00622282038,14.615295347161057
500,6,0.09009035328172572,0.00621511741,14.495358227146625
500,7,0.09009035328172572,0.00621594535,14.493427501212784
500,8,0.09009035328172572,0.0062247212,14.472994112848898
500,9,0.09094835774603299,0.00622832635,14.60237512217596
500,10,0.09009035328172572,0.00622628815,14.469351740768008
1000,1,0.13360118971914797,0.00617196364,21.64646415822825
1000,2,0.13114978150030543,0.00616574334,21.270716970892504
1000,3,0.13114978150030543,0.00618298072,21.21141686178595
1000,4,0.13237548562740437,0.00616846513,21.460036303618427
1000,5,0.13237548562740437,0.0061762617,21.432946344777513
1000,6,0.13114978150030543,0.00617537787,21.237531412843797
1000,7,0.13237548562740437,0.00616213446,21.482083275963497
1000,8,0.13237548562740437,0.00617605913,21.433649328970134
1000,9,0.13114978150030543,0.00616255542,21.28172041661013
1000,10,0.13237548562740437,0.00617525494,21.43644058643583
2000,1,0.22710812461100346,0.00595941581,38.10912543305204
2000,2,0.22710812461100346,0.00597312115,38.02168395847847
2000,3,0.2312752678252935,0.00573591376,40.320562250798815
2000,4,0.2312752678252935,0.005849279,39.53910692673294
2000,5,0.41046149845709007,0.00111854181,366.9612479278625
2000,6,0.47505188097097345,0.00389073626,122.09819664594112
2000,7,0.4604669640257643,0.00375239691,122.7127553587513
2000,8,0.4979710843094074,0.00142813032,348.68742532502733
2000,9,0.5271409181644705,0.00158830511,331.88895184280466
2000,10,0.5271409181644705,0.00141364499,372.8948370301022
5000,1,0.7376055894624512,0.00114730629,642.9020706078855
5000,2,0.7292710501724863,0.00115114753,633.5165833804866
5000,3,0.6125876686518769,0.00383484154,159.74262880543347
5000,4,0.7376055894624512,0.00113593647,649.3370086642708
5000,5,0.7542746680423815,0.00113358791,665.3870082668591
5000,6,0.7542746680423815,0.00113066204,667.1088630890814
5000,7,0.5542459779092499,0.00421816111,131.39516567902024
5000,8,0.4292280570986754,0.00418204023,102.63604209725057
5000,9,0.42506082959725705,0.00430228002,98.79896883077755
5000,10,0.42506082959725705,0.00430159131,98.81478712519926
